Variable,Value
latest.repayment.4_yr_db_pp_repayment.ug.rate,0.87407847125528
latest.repayment.4_yr_db_pp_repayment.ug.count,35
latest.repayment.4_yr_db_pp_repayment.ug.numerator,200254
latest.repayment.4_yr_db_pp_repayment.ug.denominator,229103
latest.repayment.4_yr_db_pp_repayment.ug_completer.rate,
latest.repayment.4_yr_db_pp_repayment.ug_completer.count,
latest.repayment.4_yr_db_pp_repayment.ug_completer.numerator,
latest.repayment.4_yr_db_pp_repayment.ug_completer.denominator,
latest.repayment.4_yr_db_pp_repayment.ug_noncompleter.rate,
latest.repayment.4_yr_db_pp_repayment.ug_noncompleter.count,
latest.repayment.4_yr_db_pp_repayment.ug_noncompleter.numerator,
latest.repayment.4_yr_db_pp_repayment.ug_noncompleter.denominator,
latest.repayment.4_yr_db_pp_repayment.ug_completer_unknown.rate,0.89423242164262
latest.repayment.4_yr_db_pp_repayment.ug_completer_unknown.count,23
latest.repayment.4_yr_db_pp_repayment.ug_completer_unknown.numerator,135292
latest.repayment.4_yr_db_pp_repayment.ug_completer_unknown.denominator,151294
latest.repayment.5_yr_db_pp_repayment.ug.rate,0.54936159630934
latest.repayment.5_yr_db_pp_repayment.ug.count,17
latest.repayment.5_yr_db_pp_repayment.ug.numerator,64066
latest.repayment.5_yr_db_pp_repayment.ug.denominator,116619
latest.repayment.10_yr_db_pp_repayment.ug.rate,0.3661811796302
latest.repayment.10_yr_db_pp_repayment.ug.count,24
latest.repayment.10_yr_db_pp_repayment.ug.numerator,56720
latest.repayment.10_yr_db_pp_repayment.ug.denominator,154896
latest.repayment.1_yr_bb_pp_repayment.ug.count,36
latest.repayment.1_yr_bb_pp_repayment.ug.default,
latest.repayment.1_yr_bb_pp_repayment.ug.deferment,
latest.repayment.1_yr_bb_pp_repayment.ug.discharge,
latest.repayment.1_yr_bb_pp_repayment.ug.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.ug.delinquent,
latest.repayment.1_yr_bb_pp_repayment.ug.noprogress,
latest.repayment.1_yr_bb_pp_repayment.ug.forbearance,0.4
latest.repayment.1_yr_bb_pp_repayment.ug.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.male.count,15
latest.repayment.1_yr_bb_pp_repayment.male.default,
latest.repayment.1_yr_bb_pp_repayment.male.deferment,
latest.repayment.1_yr_bb_pp_repayment.male.discharge,
latest.repayment.1_yr_bb_pp_repayment.male.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.male.delinquent,
latest.repayment.1_yr_bb_pp_repayment.male.noprogress,
latest.repayment.1_yr_bb_pp_repayment.male.forbearance,
latest.repayment.1_yr_bb_pp_repayment.male.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.pell.count,19
latest.repayment.1_yr_bb_pp_repayment.pell.default,
latest.repayment.1_yr_bb_pp_repayment.pell.deferment,
latest.repayment.1_yr_bb_pp_repayment.pell.discharge,
latest.repayment.1_yr_bb_pp_repayment.pell.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.pell.delinquent,
latest.repayment.1_yr_bb_pp_repayment.pell.noprogress,
latest.repayment.1_yr_bb_pp_repayment.pell.forbearance,
latest.repayment.1_yr_bb_pp_repayment.pell.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.count,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.default,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.deferment,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.discharge,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.delinquent,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.noprogress,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.forbearance,
latest.repayment.1_yr_bb_pp_repayment.ugcomp.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.non_male.count,21
latest.repayment.1_yr_bb_pp_repayment.non_male.default,
latest.repayment.1_yr_bb_pp_repayment.non_male.deferment,
latest.repayment.1_yr_bb_pp_repayment.non_male.discharge,
latest.repayment.1_yr_bb_pp_repayment.non_male.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.non_male.delinquent,
latest.repayment.1_yr_bb_pp_repayment.non_male.noprogress,
latest.repayment.1_yr_bb_pp_repayment.non_male.forbearance,
latest.repayment.1_yr_bb_pp_repayment.non_male.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.non_pell.count,17
latest.repayment.1_yr_bb_pp_repayment.non_pell.default,
latest.repayment.1_yr_bb_pp_repayment.non_pell.deferment,
latest.repayment.1_yr_bb_pp_repayment.non_pell.discharge,
latest.repayment.1_yr_bb_pp_repayment.non_pell.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.non_pell.delinquent,
latest.repayment.1_yr_bb_pp_repayment.non_pell.noprogress,
latest.repayment.1_yr_bb_pp_repayment.non_pell.forbearance,
latest.repayment.1_yr_bb_pp_repayment.non_pell.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.count,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.default,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.deferment,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.discharge,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.delinquent,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.noprogress,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.forbearance,
latest.repayment.1_yr_bb_pp_repayment.ugnocomp.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.dependent.count,
latest.repayment.1_yr_bb_pp_repayment.dependent.default,
latest.repayment.1_yr_bb_pp_repayment.dependent.deferment,
latest.repayment.1_yr_bb_pp_repayment.dependent.discharge,
latest.repayment.1_yr_bb_pp_repayment.dependent.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.dependent.delinquent,
latest.repayment.1_yr_bb_pp_repayment.dependent.noprogress,
latest.repayment.1_yr_bb_pp_repayment.dependent.forbearance,
latest.repayment.1_yr_bb_pp_repayment.dependent.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.count,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.default,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.deferment,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.discharge,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.delinquent,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.noprogress,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.forbearance,
latest.repayment.1_yr_bb_pp_repayment.ugunkcomp.makingprogress,
latest.repayment.1_yr_bb_pp_repayment.independent.count,
latest.repayment.1_yr_bb_pp_repayment.independent.default,
latest.repayment.1_yr_bb_pp_repayment.independent.deferment,
latest.repayment.1_yr_bb_pp_repayment.independent.discharge,
latest.repayment.1_yr_bb_pp_repayment.independent.fullypaid,
latest.repayment.1_yr_bb_pp_repayment.independent.delinquent,
latest.repayment.1_yr_bb_pp_repayment.independent.noprogress,
latest.repayment.1_yr_bb_pp_repayment.independent.forbearance,
latest.repayment.1_yr_bb_pp_repayment.independent.makingprogress,
latest.repayment.1_yr_db_fed_repayment.gr.rate,
latest.repayment.1_yr_db_fed_repayment.gr.count,
latest.repayment.1_yr_db_fed_repayment.gr.numerator,
latest.repayment.1_yr_db_fed_repayment.gr.denominator,
latest.repayment.1_yr_db_fed_repayment.ug.rate,1.01772381612821
latest.repayment.1_yr_db_fed_repayment.ug.count,3286
latest.repayment.1_yr_db_fed_repayment.ug.numerator,32809588
latest.repayment.1_yr_db_fed_repayment.ug.denominator,32238204
latest.repayment.1_yr_db_fed_repayment.gr_completer.rate,
latest.repayment.1_yr_db_fed_repayment.gr_completer.count,
latest.repayment.1_yr_db_fed_repayment.gr_completer.numerator,
latest.repayment.1_yr_db_fed_repayment.gr_completer.denominator,
latest.repayment.1_yr_db_fed_repayment.ug_completer.rate,1.02409418606557
latest.repayment.1_yr_db_fed_repayment.ug_completer.count,467
latest.repayment.1_yr_db_fed_repayment.ug_completer.numerator,5620956
latest.repayment.1_yr_db_fed_repayment.ug_completer.denominator,5488710
latest.repayment.1_yr_db_fed_repayment.gr_noncompleter.rate,
latest.repayment.1_yr_db_fed_repayment.gr_noncompleter.count,
latest.repayment.1_yr_db_fed_repayment.gr_noncompleter.numerator,
latest.repayment.1_yr_db_fed_repayment.gr_noncompleter.denominator,
latest.repayment.1_yr_db_fed_repayment.ug_noncompleter.rate,1.01404202965314
latest.repayment.1_yr_db_fed_repayment.ug_noncompleter.count,2715
latest.repayment.1_yr_db_fed_repayment.ug_noncompleter.numerator,26403672
latest.repayment.1_yr_db_fed_repayment.ug_noncompleter.denominator,26038045
latest.repayment.1_yr_db_fed_repayment.ug_completer_unknown.rate,1.10332574787511
latest.repayment.1_yr_db_fed_repayment.ug_completer_unknown.count,104
latest.repayment.1_yr_db_fed_repayment.ug_completer_unknown.numerator,784960
latest.repayment.1_yr_db_fed_repayment.ug_completer_unknown.denominator,711449
latest.repayment.20_yr_db_pp_repayment.ug.rate,0.57266300078554
latest.repayment.20_yr_db_pp_repayment.ug.count,18
latest.repayment.20_yr_db_pp_repayment.ug.numerator,50301
latest.repayment.20_yr_db_pp_repayment.ug.denominator,87837
latest.repayment.2_yr_bb_pp_repayment.ug.count,42
latest.repayment.2_yr_bb_pp_repayment.ug.default,
latest.repayment.2_yr_bb_pp_repayment.ug.deferment,
latest.repayment.2_yr_bb_pp_repayment.ug.discharge,
latest.repayment.2_yr_bb_pp_repayment.ug.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.ug.delinquent,
latest.repayment.2_yr_bb_pp_repayment.ug.noprogress,
latest.repayment.2_yr_bb_pp_repayment.ug.forbearance,0.2
latest.repayment.2_yr_bb_pp_repayment.ug.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.male.count,23
latest.repayment.2_yr_bb_pp_repayment.male.default,
latest.repayment.2_yr_bb_pp_repayment.male.deferment,
latest.repayment.2_yr_bb_pp_repayment.male.discharge,
latest.repayment.2_yr_bb_pp_repayment.male.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.male.delinquent,
latest.repayment.2_yr_bb_pp_repayment.male.noprogress,
latest.repayment.2_yr_bb_pp_repayment.male.forbearance,
latest.repayment.2_yr_bb_pp_repayment.male.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.pell.count,21
latest.repayment.2_yr_bb_pp_repayment.pell.default,
latest.repayment.2_yr_bb_pp_repayment.pell.deferment,
latest.repayment.2_yr_bb_pp_repayment.pell.discharge,
latest.repayment.2_yr_bb_pp_repayment.pell.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.pell.delinquent,
latest.repayment.2_yr_bb_pp_repayment.pell.noprogress,
latest.repayment.2_yr_bb_pp_repayment.pell.forbearance,
latest.repayment.2_yr_bb_pp_repayment.pell.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.count,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.default,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.deferment,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.discharge,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.delinquent,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.noprogress,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.forbearance,
latest.repayment.2_yr_bb_pp_repayment.ugcomp.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.non_male.count,19
latest.repayment.2_yr_bb_pp_repayment.non_male.default,
latest.repayment.2_yr_bb_pp_repayment.non_male.deferment,
latest.repayment.2_yr_bb_pp_repayment.non_male.discharge,
latest.repayment.2_yr_bb_pp_repayment.non_male.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.non_male.delinquent,
latest.repayment.2_yr_bb_pp_repayment.non_male.noprogress,
latest.repayment.2_yr_bb_pp_repayment.non_male.forbearance,
latest.repayment.2_yr_bb_pp_repayment.non_male.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.non_pell.count,21
latest.repayment.2_yr_bb_pp_repayment.non_pell.default,
latest.repayment.2_yr_bb_pp_repayment.non_pell.deferment,
latest.repayment.2_yr_bb_pp_repayment.non_pell.discharge,
latest.repayment.2_yr_bb_pp_repayment.non_pell.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.non_pell.delinquent,
latest.repayment.2_yr_bb_pp_repayment.non_pell.noprogress,
latest.repayment.2_yr_bb_pp_repayment.non_pell.forbearance,
latest.repayment.2_yr_bb_pp_repayment.non_pell.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.count,24
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.default,
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.deferment,
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.discharge,
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.delinquent,
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.noprogress,
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.forbearance,
latest.repayment.2_yr_bb_pp_repayment.ugnocomp.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.dependent.count,
latest.repayment.2_yr_bb_pp_repayment.dependent.default,
latest.repayment.2_yr_bb_pp_repayment.dependent.deferment,
latest.repayment.2_yr_bb_pp_repayment.dependent.discharge,
latest.repayment.2_yr_bb_pp_repayment.dependent.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.dependent.delinquent,
latest.repayment.2_yr_bb_pp_repayment.dependent.noprogress,
latest.repayment.2_yr_bb_pp_repayment.dependent.forbearance,
latest.repayment.2_yr_bb_pp_repayment.dependent.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.count,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.default,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.deferment,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.discharge,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.delinquent,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.noprogress,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.forbearance,
latest.repayment.2_yr_bb_pp_repayment.ugunkcomp.makingprogress,
latest.repayment.2_yr_bb_pp_repayment.independent.count,
latest.repayment.2_yr_bb_pp_repayment.independent.default,
latest.repayment.2_yr_bb_pp_repayment.independent.deferment,
latest.repayment.2_yr_bb_pp_repayment.independent.discharge,
latest.repayment.2_yr_bb_pp_repayment.independent.fullypaid,
latest.repayment.2_yr_bb_pp_repayment.independent.delinquent,
latest.repayment.2_yr_bb_pp_repayment.independent.noprogress,
latest.repayment.2_yr_bb_pp_repayment.independent.forbearance,
latest.repayment.2_yr_bb_pp_repayment.independent.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.ug.count,30
latest.repayment.3_yr_bb_pp_repayment.ug.default,
latest.repayment.3_yr_bb_pp_repayment.ug.deferment,
latest.repayment.3_yr_bb_pp_repayment.ug.discharge,
latest.repayment.3_yr_bb_pp_repayment.ug.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.ug.delinquent,
latest.repayment.3_yr_bb_pp_repayment.ug.noprogress,
latest.repayment.3_yr_bb_pp_repayment.ug.forbearance,0.40-0.59
latest.repayment.3_yr_bb_pp_repayment.ug.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.male.count,16
latest.repayment.3_yr_bb_pp_repayment.male.default,
latest.repayment.3_yr_bb_pp_repayment.male.deferment,
latest.repayment.3_yr_bb_pp_repayment.male.discharge,
latest.repayment.3_yr_bb_pp_repayment.male.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.male.delinquent,
latest.repayment.3_yr_bb_pp_repayment.male.noprogress,
latest.repayment.3_yr_bb_pp_repayment.male.forbearance,
latest.repayment.3_yr_bb_pp_repayment.male.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.pell.count,16
latest.repayment.3_yr_bb_pp_repayment.pell.default,
latest.repayment.3_yr_bb_pp_repayment.pell.deferment,
latest.repayment.3_yr_bb_pp_repayment.pell.discharge,
latest.repayment.3_yr_bb_pp_repayment.pell.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.pell.delinquent,
latest.repayment.3_yr_bb_pp_repayment.pell.noprogress,
latest.repayment.3_yr_bb_pp_repayment.pell.forbearance,
latest.repayment.3_yr_bb_pp_repayment.pell.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.count,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.default,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.deferment,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.discharge,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.delinquent,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.noprogress,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.forbearance,
latest.repayment.3_yr_bb_pp_repayment.ugcomp.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.non_male.count,14
latest.repayment.3_yr_bb_pp_repayment.non_male.default,
latest.repayment.3_yr_bb_pp_repayment.non_male.deferment,
latest.repayment.3_yr_bb_pp_repayment.non_male.discharge,
latest.repayment.3_yr_bb_pp_repayment.non_male.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.non_male.delinquent,
latest.repayment.3_yr_bb_pp_repayment.non_male.noprogress,
latest.repayment.3_yr_bb_pp_repayment.non_male.forbearance,
latest.repayment.3_yr_bb_pp_repayment.non_male.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.non_pell.count,14
latest.repayment.3_yr_bb_pp_repayment.non_pell.default,
latest.repayment.3_yr_bb_pp_repayment.non_pell.deferment,
latest.repayment.3_yr_bb_pp_repayment.non_pell.discharge,
latest.repayment.3_yr_bb_pp_repayment.non_pell.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.non_pell.delinquent,
latest.repayment.3_yr_bb_pp_repayment.non_pell.noprogress,
latest.repayment.3_yr_bb_pp_repayment.non_pell.forbearance,
latest.repayment.3_yr_bb_pp_repayment.non_pell.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.dependent.count,
latest.repayment.3_yr_bb_pp_repayment.dependent.default,
latest.repayment.3_yr_bb_pp_repayment.dependent.deferment,
latest.repayment.3_yr_bb_pp_repayment.dependent.discharge,
latest.repayment.3_yr_bb_pp_repayment.dependent.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.dependent.delinquent,
latest.repayment.3_yr_bb_pp_repayment.dependent.noprogress,
latest.repayment.3_yr_bb_pp_repayment.dependent.forbearance,
latest.repayment.3_yr_bb_pp_repayment.dependent.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.count,13
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.default,
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.deferment,
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.discharge,
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.delinquent,
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.noprogress,
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.forbearance,
latest.repayment.3_yr_bb_pp_repayment.ugnoncomp.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.count,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.default,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.deferment,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.discharge,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.delinquent,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.noprogress,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.forbearance,
latest.repayment.3_yr_bb_pp_repayment.ugunkcomp.makingprogress,
latest.repayment.3_yr_bb_pp_repayment.independent.count,
latest.repayment.3_yr_bb_pp_repayment.independent.default,
latest.repayment.3_yr_bb_pp_repayment.independent.deferment,
latest.repayment.3_yr_bb_pp_repayment.independent.discharge,
latest.repayment.3_yr_bb_pp_repayment.independent.fullypaid,
latest.repayment.3_yr_bb_pp_repayment.independent.delinquent,
latest.repayment.3_yr_bb_pp_repayment.independent.noprogress,
latest.repayment.3_yr_bb_pp_repayment.independent.forbearance,
latest.repayment.3_yr_bb_pp_repayment.independent.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.ug.count,30
latest.repayment.4_yr_bb_pp_repayment.ug.default,
latest.repayment.4_yr_bb_pp_repayment.ug.deferment,
latest.repayment.4_yr_bb_pp_repayment.ug.discharge,
latest.repayment.4_yr_bb_pp_repayment.ug.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.ug.delinquent,
latest.repayment.4_yr_bb_pp_repayment.ug.noprogress,
latest.repayment.4_yr_bb_pp_repayment.ug.forbearance,0.40-0.59
latest.repayment.4_yr_bb_pp_repayment.ug.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.male.count,16
latest.repayment.4_yr_bb_pp_repayment.male.default,
latest.repayment.4_yr_bb_pp_repayment.male.deferment,
latest.repayment.4_yr_bb_pp_repayment.male.discharge,
latest.repayment.4_yr_bb_pp_repayment.male.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.male.delinquent,
latest.repayment.4_yr_bb_pp_repayment.male.noprogress,
latest.repayment.4_yr_bb_pp_repayment.male.forbearance,
latest.repayment.4_yr_bb_pp_repayment.male.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.pell.count,16
latest.repayment.4_yr_bb_pp_repayment.pell.default,
latest.repayment.4_yr_bb_pp_repayment.pell.deferment,
latest.repayment.4_yr_bb_pp_repayment.pell.discharge,
latest.repayment.4_yr_bb_pp_repayment.pell.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.pell.delinquent,
latest.repayment.4_yr_bb_pp_repayment.pell.noprogress,
latest.repayment.4_yr_bb_pp_repayment.pell.forbearance,
latest.repayment.4_yr_bb_pp_repayment.pell.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.count,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.default,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.deferment,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.discharge,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.delinquent,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.noprogress,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.forbearance,
latest.repayment.4_yr_bb_pp_repayment.ugcomp.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.non_male.count,14
latest.repayment.4_yr_bb_pp_repayment.non_male.default,
latest.repayment.4_yr_bb_pp_repayment.non_male.deferment,
latest.repayment.4_yr_bb_pp_repayment.non_male.discharge,
latest.repayment.4_yr_bb_pp_repayment.non_male.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.non_male.delinquent,
latest.repayment.4_yr_bb_pp_repayment.non_male.noprogress,
latest.repayment.4_yr_bb_pp_repayment.non_male.forbearance,
latest.repayment.4_yr_bb_pp_repayment.non_male.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.non_pell.count,14
latest.repayment.4_yr_bb_pp_repayment.non_pell.default,
latest.repayment.4_yr_bb_pp_repayment.non_pell.deferment,
latest.repayment.4_yr_bb_pp_repayment.non_pell.discharge,
latest.repayment.4_yr_bb_pp_repayment.non_pell.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.non_pell.delinquent,
latest.repayment.4_yr_bb_pp_repayment.non_pell.noprogress,
latest.repayment.4_yr_bb_pp_repayment.non_pell.forbearance,
latest.repayment.4_yr_bb_pp_repayment.non_pell.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.count,13
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.default,
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.deferment,
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.discharge,
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.delinquent,
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.noprogress,
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.forbearance,
latest.repayment.4_yr_bb_pp_repayment.ugnocomp.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.dependent.count,
latest.repayment.4_yr_bb_pp_repayment.dependent.default,
latest.repayment.4_yr_bb_pp_repayment.dependent.deferment,
latest.repayment.4_yr_bb_pp_repayment.dependent.discharge,
latest.repayment.4_yr_bb_pp_repayment.dependent.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.dependent.delinquent,
latest.repayment.4_yr_bb_pp_repayment.dependent.noprogress,
latest.repayment.4_yr_bb_pp_repayment.dependent.forbearance,
latest.repayment.4_yr_bb_pp_repayment.dependent.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.count,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.default,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.deferment,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.discharge,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.delinquent,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.noprogress,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.forbearance,
latest.repayment.4_yr_bb_pp_repayment.ugunkcomp.makingprogress,
latest.repayment.4_yr_bb_pp_repayment.independent.count,
latest.repayment.4_yr_bb_pp_repayment.independent.default,
latest.repayment.4_yr_bb_pp_repayment.independent.deferment,
latest.repayment.4_yr_bb_pp_repayment.independent.discharge,
latest.repayment.4_yr_bb_pp_repayment.independent.fullypaid,
latest.repayment.4_yr_bb_pp_repayment.independent.delinquent,
latest.repayment.4_yr_bb_pp_repayment.independent.noprogress,
latest.repayment.4_yr_bb_pp_repayment.independent.forbearance,
latest.repayment.4_yr_bb_pp_repayment.independent.makingprogress,
latest.repayment.4_yr_db_fed_repayment.gr.rate,
latest.repayment.4_yr_db_fed_repayment.gr.count,
latest.repayment.4_yr_db_fed_repayment.gr.numerator,
latest.repayment.4_yr_db_fed_repayment.gr.denominator,
latest.repayment.4_yr_db_fed_repayment.ug.rate,1.02287603363952
latest.repayment.4_yr_db_fed_repayment.ug.count,4795
latest.repayment.4_yr_db_fed_repayment.ug.numerator,39530282
latest.repayment.4_yr_db_fed_repayment.ug.denominator,38646210
latest.repayment.4_yr_db_fed_repayment.ug_completer.rate,0.98694742040499
latest.repayment.4_yr_db_fed_repayment.ug_completer.count,778
latest.repayment.4_yr_db_fed_repayment.ug_completer.numerator,8009934
latest.repayment.4_yr_db_fed_repayment.ug_completer.denominator,8115867
latest.repayment.4_yr_db_fed_repayment.ug_noncompleter.rate,1.04385235252504
latest.repayment.4_yr_db_fed_repayment.ug_noncompleter.count,1788
latest.repayment.4_yr_db_fed_repayment.ug_noncompleter.numerator,15289867
latest.repayment.4_yr_db_fed_repayment.ug_noncompleter.denominator,14647538
latest.repayment.4_yr_db_fed_repayment.ug_completer_unknown.rate,1.02189008805434
latest.repayment.4_yr_db_fed_repayment.ug_completer_unknown.count,2229
